KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
1;XU100;BIST 100;BIST 100;TRY;06/01/2023;5341.96;5120.96;4961.31;5420.38
2;XU100_CFNPTLUS;BIST 100 (ABD DOLARI);BIST 100 (USD);USD;06/01/2023;1657.91;1657.91;1657.91;1657.91
3;XU100_CFNPTLER;BIST 100 (EURO);BIST 100 (EURO);EUR;06/01/2023;1848.96;1848.96;1848.96;1848.96
4;XU050;BIST 50;BIST 50;TRY;06/01/2023;4735.02;4543.62;4407.23;4809.96
5;XU050_CFNPTLUS;BIST 50 (ABD DOLARI);BIST 50 (USD);USD;06/01/2023;1469.54;1469.54;1469.54;1469.54
6;XU050_CFNPTLER;BIST 50 (EURO);BIST 50 (EURO);EUR;06/01/2023;1638.88;1638.88;1638.88;1638.88
7;XU030;BIST 30;BIST 30;TRY;06/01/2023;5799.09;5568.89;5404.57;5898.23
8;XU030_CFNPTLUS;BIST 30 (ABD DOLARI);BIST 30 (USD);USD;06/01/2023;1799.78;1799.78;1799.78;1799.78
9;XU030_CFNPTLER;BIST 30 (EURO);BIST 30 (EURO);EUR;06/01/2023;2007.18;2007.18;2007.18;2007.18
10;XLBNK;BIST LIKIT BANKA;BIST LIQUID BANKS;TRY;06/01/2023;4234.95;4081.26;3920.23;4327.82
11;XLBNK_CFNPTLUS;BIST LIKIT BANKA (ABD DOLARI);BIST LIQUID BANKS (USD);USD;06/01/2023;1314.34;1314.34;1314.34;1314.34
12;XLBNK_CFNPTLER;BIST LIKIT BANKA (EURO);BIST LIQUID BANKS (EURO);EUR;06/01/2023;1465.8;1465.8;1465.8;1465.8
13;X10XB;BIST BANKA DISI LIKIT 10;BIST LIQUID 10 EX BANKS;TRY;06/01/2023;7262.47;6944.35;6771.55;7388.64
