SIRA NO;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE
1;XU100_CFNNTLTL;BIST 100 GETIRI;BIST 100 RETURN;TRY;06/01/2023;9773.15
2;XU100_CFNNTLUS;BIST 100 GETIRI (ABD DOLARI);BIST 100 RETURN (USD);USD;06/01/2023;3033.15
3;XU100_CFNNTLER;BIST 100 GETIRI (EURO);BIST 100 RETURN (EURO);EUR;06/01/2023;3382.68
4;XU050_CFNNTLTL;BIST 50 GETIRI;BIST 50 RETURN;TRY;06/01/2023;8591.99
5;XU050_CFNNTLUS;BIST 50 GETIRI (ABD DOLARI);BIST 50 RETURN (USD);USD;06/01/2023;2666.57
6;XU050_CFNNTLER;BIST 50 GETIRI (EURO);BIST 50 RETURN (EURO);EUR;06/01/2023;2973.86
7;XU030_CFNNTLTL;BIST 30 GETIRI;BIST 30 RETURN;TRY;06/01/2023;10581.09
8;XU030_CFNNTLUS;BIST 30 GETIRI (ABD DOLARI);BIST 30 RETURN (USD);USD;06/01/2023;3283.9
9;XU030_CFNNTLER;BIST 30 GETIRI (EURO);BIST 30 RETURN (EURO);EUR;06/01/2023;3662.32
10;XLBNK_CFNNTLTL;BIST LIKIT BANKA GETIRI;BIST LIQUID BANKS RETURN;TRY;06/01/2023;4398.85
11;XLBNK_CFNNTLUS;BIST LIKIT BANKA GETIRI (ABD DOLARI);BIST LIQUID BANKS RETURN (USD);USD;06/01/2023;1365.21
12;XLBNK_CFNNTLER;BIST LIKIT BANKA GETIRI (EURO);BIST LIQUID BANKS RETURN (EURO);EUR;06/01/2023;1522.53
13;X10XB_CFNNTLTL;BIST BANKA DISI LIKIT 10 GETIRI;BIST LIQUID 10 EX BANKS RETURN;TRY;06/01/2023;7917.09
14;X10XB_CFNNTLUS;BIST BANKA DISI LIKIT 10 GETIRI (ABD DOLARI);BIST LIQUID 10 EX BANKS RETURN (USD);USD;06/01/2023;2457.11
15;X10XB_CFNNTLER;BIST BANKA DISI LIKIT 10 GETIRI (EURO);BIST LIQUID 10 EX BANKS RETURN (EURO);EUR;06/01/2023;2740.26
16;XUTUM_CFNNTLTL;BIST TUM GETIRI;BIST ALL SHARES RETURN;TRY;06/01/2023;10779.94
17;XUTUM_CFNNTLUS;BIST TUM GETIRI (ABD DOLARI);BIST ALL SHARES RETURN (USD);USD;06/01/2023;3345.61
18;XUTUM_CFNNTLER;BIST TUM GETIRI (EURO);BIST ALL SHARES RETURN (EURO);EUR;06/01/2023;3731.15
19;XELOT_CFNNTLTL;BIST 50-30 GETIRI;BIST 50-30 RETURN;TRY;06/01/2023;4938.54
20;XELOT_CFNNTLUS;BIST 50-30 GETIRI (ABD DOLARI);BIST 50-30 RETURN (USD);USD;06/01/2023;1532.7
21;XELOT_CFNNTLER;BIST 50-30 GETIRI (EURO);BIST 50-30 RETURN (EURO);EUR;06/01/2023;1709.32
22;XELOS_CFCNTLTL;BIST 50-30 AGIRLIK SINIRLAMALI 10 GETIRI;BIST 50-30 CAPPED 10 RETURN;TRY;06/01/2023;4896.55
23;XELOS_CFCNTLUS;BIST 50-30 AGIRLIK SINIRLAMALI 10 GETIRI (ABD DOLARI);BIST 50-30 CAPPED 10 RETURN (USD);USD;06/01/2023;1519.67
24;XELOS_CFCNTLER;BIST 50-30 AGIRLIK SINIRLAMALI 10 GETIRI (EURO);BIST 50-30 CAPPED 10 RETURN (EURO);EUR;06/01/2023;1694.79
25;XELOC_CFCNTLTL;BIST 50-30 AGIRLIK SINIRLAMALI 25 GETIRI;BIST 50-30 CAPPED 25 RETURN;TRY;06/01/2023;4937.25
26;XELOC_CFCNTLUS;BIST 50-30 AGIRLIK SINIRLAMALI 25 GETIRI (ABD DOLARI);BIST 50-30 CAPPED 25 RETURN (USD);USD;06/01/2023;1532.3
27;XELOC_CFCNTLER;BIST 50-30 AGIRLIK SINIRLAMALI 25 GETIRI (EURO);BIST 50-30 CAPPED 25 RETURN (EURO);EUR;06/01/2023;1708.88
28;XYUZO_CFNNTLTL;BIST 100-30 GETIRI;BIST 100-30 RETURN;TRY;06/01/2023;13444.03
29;XYUZO_CFNNTLUS;BIST 100-30 GETIRI (ABD DOLARI);BIST 100-30 RETURN (USD);USD;06/01/2023;4172.43
30;XYUZO_CFNNTLER;BIST 100-30 GETIRI (EURO);BIST 100-30 RETURN (EURO);EUR;06/01/2023;4653.24
